2025-10-24 12:09:10 - INFO - Document ID: 68ba58d9-4288-49e6-ad56-c602bf2e8d64
2025-10-24 12:09:10 - INFO - Log file: C:\Users\haast\docker\KRAI-minimal\input_pdfs\AccurioPress_C4080_C4070_C84hc_C74hc_AccurioPrint_C4065_C4065P_SM_EN_20250127.log.txt
2025-10-24 12:09:10 - INFO - Step 1/5: Extracting text from PDF...
2025-10-24 12:09:11 - INFO - Extracting text from: AccurioPress_C4080_C4070_C84hc_C74hc_AccurioPrint_C4065_C4065P_SM_EN_20250127.pdf
2025-10-24 12:09:11 - INFO - Using engine: pymupdf
2025-10-24 12:09:25 - INFO - [green]Extracted 4386 pages with PyMuPDF[/green]
2025-10-24 12:09:26 - INFO - 🔍 Auto-detecting manufacturer from multiple sources...
2025-10-24 12:09:26 - INFO -    📄 Filename: 'AccurioPress_C4080_C4070_C84hc_C74hc_AccurioPrint_C4065_C4065P_SM_EN_20250127'
2025-10-24 12:09:26 - INFO -    📋 Title: 'AccurioPress_C4080_C4070_C84hc_C74hc_AccurioPrint_C4065_C4065P_SM_EN_20250127'
2025-10-24 12:09:26 - INFO -    ✍️  Author: (none)
2025-10-24 12:09:26 - INFO -    📖 Text sample: First 3 pages (2000 chars)
2025-10-24 12:09:26 - INFO - 
2025-10-24 12:09:26 - INFO - 📊 Detection Results:
2025-10-24 12:09:26 - INFO -    🏆 Konica Minolta: 18 points
2025-10-24 12:09:26 - INFO -       Sources: 📄 Filename, 📋 Title, 📖 Text (3 mentions)
2025-10-24 12:09:26 - INFO - 
2025-10-24 12:09:26 - INFO - [green]✅ Selected: Konica Minolta (score: 18)[/green]
2025-10-24 12:09:26 - INFO - [green]   ✅ Excellent confidence (filename + author + title)[/green]
2025-10-24 12:09:27 - DEBUG - Normalized 'Konica Minolta' -> 'Konica Minolta'
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 174
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 175
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 176
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 177
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 178
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 179
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 180
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 181
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 182
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 183
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 184
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 185
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 186
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 187
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 188
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 189
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 190
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 191
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 192
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 193
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 194
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 195
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 196
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 197
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 198
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 199
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 200
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 201
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 202
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 203
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 204
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 205
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 206
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 207
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 208
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 209
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 210
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 211
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 212
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 213
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 214
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 215
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 216
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 217
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 218
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 219
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 220
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 221
2025-10-24 12:09:29 - DEBUG - Extracted 5 unique products from page 222
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 223
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 224
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 225
2025-10-24 12:09:29 - DEBUG - Extracted 6 unique products from page 226
2025-10-24 12:09:29 - DEBUG - Extracted 6 unique products from page 227
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 228
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 229
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 230
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 231
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 232
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 233
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 234
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 235
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 236
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 237
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 238
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 239
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 240
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 241
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 242
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 243
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 244
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 245
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 246
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 247
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 248
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 249
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 250
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 251
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 252
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 253
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 254
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 255
